Row	BroodID	PopID	BreedingSeason	Species	Plot	LocationID	FemaleID	MaleID	ClutchType_observed	ClutchType_calculated	LayDate	LayDateError	ClutchSize	ClutchSizeError	HatchDate	HatchDateError	BroodSize	BroodSizeError	FledgeDate	FledgeDateError	NumberFledged	NumberFledgedError	AvgEggMass	NumberEggs	AvgChickMass	NumberChicksMass	AvgTarsus	NumberChicksTarsus	ExperimentID
7848	2015_rou_343_1	ROU	2015	CYACAE	rou	rou_343_NB	NA	NA	first	first	09/04/2015	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7849	2015_rou_418_1	ROU	2015	CYACAE	rou	rou_418_NB	NA	NA	first	first	09/04/2015	NA	12	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7850	2015_fel_12_1	MUR	2015	CYACAE	fel	fel_12_NB	NA	NA	first	first	10/04/2015	NA	9	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7851	2015_rou_323_1	ROU	2015	CYACAE	rou	rou_323_NB	NA	NA	first	first	10/04/2015	NA	10	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7852	2015_rou_345_1	ROU	2015	CYACAE	rou	rou_345_NB	NA	NA	first	first	10/04/2015	NA	10	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7853	2015_rou_402_1	ROU	2015	CYACAE	rou	rou_402_NB	NA	NA	first	first	10/04/2015	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7854	2015_fil_23_1	MUR	2015	CYACAE	fil	fil_23_NB	NA	NA	first	first	11/04/2015	NA	8	NA	30/04/2015	NA	8	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7855	2015_gra_17_3	MUR	2015	CYACAE	gra	gra_17_NB	NA	NA	replacement	first	11/04/2015	NA	5	NA	01/05/2015	NA	5	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7856	2015_rou_370_1	ROU	2015	CYACAE	rou	rou_370_NB	NA	NA	first	first	11/04/2015	NA	9	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7857	2015_gra_17_1	MUR	2015	CYACAE	gra	gra_17_NB	NA	NA	first	first	12/04/2015	NA	7	NA	01/05/2015	NA	6	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7858	2015_rou_59_1	ROU	2015	CYACAE	rou	rou_59_NB	NA	NA	first	first	12/04/2015	NA	9	NA	04/05/2015	NA	8	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
7859	2015_rou_313_1	ROU	2015	CYACAE	rou	rou_313_NB	NA	NA	first	first	12/04/2015	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
